,equity
2023-03-15 07:00:00,100000.0
2023-03-15 07:00:00,100000.0
2023-03-15 07:05:00,100000.0
2023-03-15 07:10:00,100000.0
2023-03-15 07:15:00,100000.0
2023-03-15 07:20:00,100000.0
2023-03-15 07:25:00,100000.0
2023-03-15 07:30:00,100000.0
2023-03-15 07:35:00,100000.0
2023-03-15 07:40:00,100000.0
2023-03-15 07:45:00,100000.0
2023-03-15 07:50:00,100000.0
2023-03-15 07:55:00,100000.0
2023-03-15 08:00:00,100000.0
2023-03-15 08:05:00,100000.0
2023-03-15 08:10:00,100000.0
2023-03-15 08:15:00,100000.0
2023-03-15 08:20:00,100000.0
2023-03-15 08:25:00,100000.0
2023-03-15 08:30:00,100000.0
2023-03-15 08:35:00,100000.0
2023-03-15 08:40:00,100000.0
2023-03-15 08:45:00,100000.0
2023-03-15 08:50:00,100000.0
2023-03-15 08:55:00,100000.0
2023-03-15 09:00:00,100000.0
2023-03-15 09:05:00,100000.0
2023-03-15 09:10:00,100000.0
2023-03-15 09:15:00,100000.0
2023-03-15 09:20:00,100000.0
2023-03-15 09:25:00,100000.0
2023-03-15 09:30:00,100000.0
2023-03-15 09:35:00,100000.0
2023-03-15 09:40:00,100000.0
2023-03-15 09:45:00,100000.0
2023-03-15 09:50:00,100000.0
2023-03-15 09:55:00,100000.0
2023-03-15 10:00:00,100000.0
2023-03-15 10:05:00,100000.0
2023-03-15 10:10:00,100000.0
2023-03-15 10:15:00,100000.0
2023-03-15 10:20:00,100000.0
2023-03-15 10:25:00,100000.0
2023-03-15 10:30:00,100000.0
2023-03-15 10:35:00,100000.0
2023-03-15 10:40:00,100000.0
2023-03-15 10:45:00,100000.0
2023-03-15 10:50:00,100000.0
2023-03-15 10:55:00,100000.0
2023-03-15 11:00:00,100000.0
2023-03-15 11:05:00,100000.0
2023-03-15 11:10:00,100000.0
2023-03-15 11:15:00,100000.0
2023-03-15 11:20:00,100000.0
2023-03-15 11:25:00,100000.0
2023-03-15 11:30:00,100000.0
2023-03-15 11:35:00,100000.0
2023-03-15 11:40:00,100000.0
2023-03-15 11:45:00,100000.0
2023-03-15 11:50:00,100000.0
2023-03-15 11:55:00,100000.0
2023-03-15 12:00:00,100000.0
2023-03-15 12:05:00,100000.34375
2023-03-15 12:10:00,100000.6875
2023-03-15 12:15:00,100001.03125
2023-03-15 12:20:00,100001.375
2023-03-15 12:25:00,100001.71875
2023-03-15 12:30:00,100002.0625
2023-03-15 12:35:00,100002.40625
2023-03-15 12:40:00,100001.03125
2023-03-15 12:45:00,99999.65625
2023-03-15 12:50:00,100000.0
2023-03-15 12:55:00,99998.625
2023-03-15 13:00:00,99998.96875
2023-03-15 13:05:00,99999.3125
2023-03-15 13:10:00,99999.65625
2023-03-15 13:15:00,100000.0
2023-03-15 13:20:00,100000.34375
2023-03-15 13:25:00,100000.6875
2023-03-15 13:30:00,100001.0390625
2023-03-15 13:35:00,100001.0390625
2023-03-15 13:40:00,99999.6640625
2023-03-15 13:45:00,100000.015625
2023-03-15 13:50:00,100000.3671875
2023-03-15 13:55:00,100000.71875
2023-03-15 14:00:00,100001.0703125
2023-03-15 14:05:00,99999.6953125
2023-03-15 14:10:00,99998.3203125
2023-03-15 14:15:00,99996.9453125
2023-03-15 14:20:00,99995.5703125
2023-03-15 14:25:00,99995.921875
2023-03-15 14:30:00,99994.546875
2023-03-15 14:35:00,99994.8984375
2023-03-15 14:40:00,99995.25
2023-03-15 14:45:00,99995.6015625
2023-03-15 14:50:00,99995.9609375
2023-03-15 14:55:00,99994.5859375
2023-03-15 15:00:00,99993.2109375
2023-03-15 15:05:00,99993.5625
2023-03-15 15:10:00,99993.5625
2023-03-15 15:15:00,99993.5625
2023-03-15 15:20:00,99993.5625
2023-03-15 15:25:00,99993.5625
2023-03-15 15:30:00,99992.1875
2023-03-15 15:35:00,99992.5390625
2023-03-15 15:40:00,99992.890625
2023-03-15 15:45:00,99993.2421875
2023-03-15 15:50:00,99993.2421875
2023-03-15 15:55:00,99993.2421875
